@relation reopenBugInFuture
@attribute StepToReproduce numeric
@attribute ExpectedBehaviour numeric
@attribute DescriptionLength numeric
@attribute DeveloperInvolvedInDiscussion numeric
@attribute OPastCommit numeric
@attribute OPastFix numeric
@attribute FPastCommit numeric
@attribute FPastFix numeric
@attribute SocialStrength numeric
@attribute locFixMean numeric
@attribute locFixMedian numeric
@attribute DWMCMean numeric
@attribute DWMCMedian numeric
@attribute ReadabilityMean numeric
@attribute ReadabilityMedian numeric
@attribute CDMean numeric
@attribute CDMedian numeric
@attribute CBOMean numeric
@attribute CBOMedian numeric
@attribute DITMean numeric
@attribute DITMedian numeric
@attribute LOCPreFixMean numeric
@attribute LOCPrefixMedian numeric
@attribute LCOMMean numeric
@attribute LCOMMedian numeric
@attribute NOCMean numeric
@attribute NOCMedian numeric
@attribute NOFMean numeric
@attribute NOFMedian numeric
@attribute NOMMean numeric
@attribute NOMMedian numeric
@attribute NOPMMean numeric
@attribute NOPMMedian numeric
@attribute NOPFMean numeric
@attribute NOPFMedian numeric
@attribute NOSMMean numeric
@attribute NOSMMedian numeric
@attribute NOSFMean numeric
@attribute NOSFMedian numeric
@attribute NOSIMean numeric
@attribute NOSIMedian numeric
@attribute RFCMean numeric
@attribute RFCMedian numeric
@attribute WMCMean numeric
@attribute WMCMedian numeric
@attribute BugReopen {false,true}

@data
0.0,0.0,93.0,4.0,0.0,0.0,356.0,37.0,0.3333333333333333,446.0,446.0,4.5,4.5,0.0,0.0,11.013191489361702,11.013191489361702,25.5,25.5,2.5,2.5,432.0,432.0,1.5,1.5,0.0,0.0,5.0,5.0,15.5,15.5,12.5,12.5,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5,36.5,36.5,100.0,100.0,true
0.0,0.0,340.0,2.0,0.0,0.0,11.0,0.0,0.0,153.0,153.0,0.5,0.5,0.0,0.0,7.105113636363637,7.105113636363637,8.5,8.5,2.0,2.0,135.5,135.5,3.0,3.0,0.0,0.0,0.5,0.5,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,7.5,7.5,true
0.0,0.0,53.0,5.0,0.0,0.0,334.0,79.0,0.2,565.0,565.0,0.0,0.0,0.0,0.0,6.373493975903615,6.373493975903615,5.0,5.0,2.0,2.0,563.0,563.0,120.0,120.0,0.0,0.0,7.0,7.0,17.0,17.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,31.0,31.0,true
0.0,0.0,512.0,4.0,0.0,0.0,23.0,2.0,0.5,88.0,209.85714285714286,0.0,0.8571428571428559,0.0,1.4877529922939306E-5,4.785714285714286,7.745161935742039,20.0,16.571428571428573,1.0,1.2857142857142858,88.0,203.0,8.0,21.0,0.0,0.0,1.0,1.0,4.0,5.714285714285714,4.0,5.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,20.0,28.0,8.0,10.857142857142858,true
1.0,1.0,184.0,9.0,3.0,0.0,33.0,12.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
0.0,0.0,166.0,3.0,155.0,34.0,171.0,38.0,1.0,1016.5,1016.5,1.5,1.5,0.0,0.0,4.490883779414406,4.490883779414406,64.5,64.5,2.5,2.5,1012.5,1012.5,4005.0,4005.0,0.0,0.0,13.0,13.0,69.5,69.5,31.0,31.0,4.5,4.5,23.0,23.0,9.0,9.0,9.0,9.0,217.5,217.5,202.0,202.0,true
0.0,0.0,695.0,5.0,0.0,0.0,358.0,83.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
0.0,0.0,34.0,3.0,156.0,45.0,1214.0,159.0,1.0,488.5,795.5,8.5,5.5,0.0,0.0,12.398902821316614,17.28620664415267,75.5,64.25,2.5,2.5,482.0,779.0,90.0,281.75,0.0,0.0,14.5,13.0,31.0,56.5,11.0,43.25,0.0,0.0,3.5,5.75,0.0,5.0,0.0,5.0,103.5,108.75,115.5,107.75,true
0.0,0.0,24.0,2.0,28.0,4.0,22.0,3.0,0.0,132.0,194.8695652173913,0.0,0.0,0.0,0.0,7.142857142857143,Infinity,13.0,13.347826086956522,1.0,1.0869565217391304,132.0,194.91304347826087,10.0,325.7391304347826,0.0,0.0,16.0,20.130434782608695,13.0,22.869565217391305,13.0,21.608695652173914,0.0,0.043478260869565216,1.0,1.7826086956521738,10.0,12.91304347826087,10.0,12.91304347826087,22.0,26.47826086956522,25.0,36.56521739130435,true
0.0,0.0,50.0,9.0,0.0,0.0,380.0,60.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
